question,answer,image_id
what does the symptoms on this leaf depict?,BlackSpot_disease,BlackSpot1
whether the leaf symptoms belong to Canker or Greening?,Canker_disease,canker1
"Based on the image, can you identify if the leaf has greening disease or is it healthy?",Greening_disease,Greening1
Is this leaf healthy or not?,Yes_HealthyLeaf,H1
What type of citrus disease is evident in this image?,Melanose_disease,M1
Is the leaf in the image suffering from any kind of disease?,Yes_BlackSpot_disease,BlackSpot2
what are the disease-related issues on this leaf?,Canker_disease,canker2
which disease symptoms are found on this citrus leaf?,Greening_disease,Greening2
"Based on the image, is the leaf healthy or showing signs of disease?",HealthyLeaf,H2
"Is the leaf pictured here free from disease, or is there evidence of infection?",Melanose_disease,M2
Are there any abnormal spots or discolorations on this leaf indicating a disease?,Yes_BlackSpot_disease,BlackSpot3
What type of citrus disease is evident in this image?,Canker_disease,canker3
"In relation to citrus diseases, what does this image portray?",Greening_disease,Greening3
"Based on visual cues, what does this citrus leaf depicts ?",HealthyLeaf,H3
What citrus leaf disease type can be inferred from this picture?,Melanose_disease,M3
"From the image, which disease affecting citrus leaves is being shown?",BlackSpot_disease,BlackSpot4
Which specific disease of citrus leaves does this image correspond to?,Canker_disease,canker4
What is the likely citrus disease represented in this image?,Greening_disease,Greening4
"In terms of citrus leaf diseases, what does this image indicate?",HealthyLeaf,H4
Identify the citrus disease type visualized in this picture.,Melanose_disease,M4
"From your knowledge of citrus diseases, what can you deduce from this image in terms of disease type?",BlackSpot_disease,BlackSpot5
"From the image, what specific disease affecting citrus leaves can you identify?",Canker_disease,canker5
"In the context of citrus leaf diseases, what does this image suggest about the type of disease present?",Greening_disease,Greening5
Which disease common to citrus leaves is being hinted at in this image?,HealthyLeaf,H5
"By examining the image, what conclusion can you draw about the particular citrus leaf disease it illustrates?",Melanose_disease,M5
Do you notice any disease symptoms on this leaf?,Yes_BlackSpot_disease,BlackSpot6
Is the leaf infected with a disease?,Yes_Canker_disease,canker6
"In the context of citrus leaf diseases, what is the most probable interpretation of this image?",Greening_disease,Greening6
Identify the citrus leaf disease based on the features visible in the image.,HealthyLeaf,H6
Which disease affecting citrus leaves is indicated by the image provided?,Melanose_disease,M6
Are there any disease-related marks on this leaf?,Yes_BlackSpot_disease,BlackSpot7
Is the leaf's health compromised by a disease?,Yes_Canker_disease,canker7
Can you see any signs of disease on this leaf?,Yes_Greening_disease,Greening7
Does this leaf have any visible disease symptoms?,No_HealthyLeaf,H7
What disease type is being depicted in the image of the citrus leaf?,Melanose_disease,M7
"In terms of citrus leaf diseases, what does this image hint at?",BlackSpot_disease,BlackSpot8
what can you infer about the disease in question from this image?,Canker_disease,canker8
Describe the disease affecting the citrus leaf in the provided image.,Greening_disease,Greening8
Is the leaf's appearance affected by disease?,No_HealthyLeaf,H8
What conclusion can you draw about the health of the citrus plant from this image?,Melanose_disease,M8
What disease could be causing the visible abnormalities in this citrus leaf image?,BlackSpot_disease,BlackSpot9
What type of disease might be affecting the citrus leaves as seen in the image?,Canker_disease,canker9
"Based on the image, what specific citrus leaf disease can you identify?",Greening_disease,Greening9
What inference can you make about the citrus plant's condition from this image of its leaves?,HealthyLeaf,H9
Is the leaf's abnormality a result of a disease?,Yes_Melanose_disease,M9
Is this leaf displaying signs of disease or damage?,Yes_BlackSpot_disease,BlackSpot10
Is the leaf's mark attributed to a disease?,Yes_Canker_disease,canker10
Can you confirm if this leaf is under the influence of a disease?,Yes_Greening_disease,Greening10
does this leaf have a disease?,No_HealthyLeaf,H10
Can you verify if this leaf is sick?,Yes_BlackSpot_disease,BlackSpot11
What disease-related characteristics are evident in the image of the citrus leaf?,Canker_disease,canker11
"In terms of citrus health, what does this image reveal about the presence of disease?",Greening_disease,Greening11
Identify the citrus disease that aligns with the symptoms shown in the image.,HealthyLeaf,H11
What do you gather about the citrus leaf's health status from this image?,Melanose_disease,M10
Is this leaf not healthy because of a disease?,Yes_BlackSpot_disease,BlackSpot12
"From the visual cues in the image, which disease is affecting the citrus leaves?",Canker_disease,canker12
What type of citrus leaf disease might this image help diagnose?,Greening_disease,Greening12
What insights can you draw about the health of the citrus plant from this leaf image?,HealthyLeaf,H12
Is this leaf's oddness caused by a disease?,Yes_Melanose_disease,M11
Is this leaf showing any signs of disease or harm?,Yes_BlackSpot_disease,BlackSpot13
Is this leaf's mark caused by a disease?,Yes_Canker_disease,canker13
Can you make sure if this leaf is affected by a disease?,Yes_Greening_disease,Greening13
Is this leaf's state getting worse because of a disease?,No_HealthyLeaf,H13
Which specific disease could be causing the observed issues in the citrus leaf?,BlackSpot_disease,BlackSpot14
Describe the disease characteristics visible in the image of the citrus leaf.,Canker_disease,canker14
What disease type is indicated by the abnormalities in this citrus leaf image?,Greening_disease,Greening14
Are there any clear signs of disease on this citrus leaf?,No_HealthyLeaf,H14
"Using the picture, can you figure out if the leaf has a disease?",Yes_BlackSpot_disease,BlackSpot15
Is the leaf in the picture not well from BlackSpot sickness?,No_Canker_disease,canker15
Could you let me know if there's anything wrong with this leaf because of a disease?,Yes_Greening_disease,Greening15
Do you notice any signs of sickness on this citrus leaf in the picture?,No_HealthyLeaf,H15
"Looking at the picture, is the leaf healthy or does it have signs of sickness?",Yes_Melanose_disease,M12
"In the picture, is the leaf okay or does it look like it has an infection?",Yes_BlackSpot_disease,BlackSpot16
Are there any strange spots or color changes on this leaf that might mean a disease?,Yes_Canker_disease,canker16
"Based on what you see, is this citrus leaf suffering from a Canker disease?",No_Greening_disease,Greening16
Can you figure out if the leaf in the picture is dealing with a disease?,Yes_HealthyLeaf,H16
what conclusions can you make about the potential disease affecting the citrus leaves in this image?,Melanose_disease,M13
"In the context of citrus leaf diseases, how would you interpret the symptoms in this image?",BlackSpot_disease,BlackSpot17
Is there any disease found on this leaf?,Yes_Canker_disease,canker17
Does this leaf seem unhealthy due to a disease?,Yes_BlackSpot_disease,BlackSpot18
Is this leaf healthy or not?,Yes_HealthyLeaf,H17
Is there any evidence of disease on this leaf?,Yes_BlackSpot_disease,BlackSpot19
What do you gather about the underlying issue in the citrus plant from this leaf image?,Canker_disease,canker18
Which disease of citrus leaves corresponds to the signs shown in the image?,Greening_disease,Greening17
Is this leaf's condition due to a disease?,No_HealthyLeaf,H18
Can you tell if a disease is harming this leaf?,Yes_BlackSpot_disease,BlackSpot20
Is this leaf not well because of some disease?,Yes_Canker_disease,canker19
What disease is seen in this citrus leaf image?,Greening_disease,Greening18
Is there any sign of disease on this leaf?,No_HealthyLeaf,H19
What disease might these visual characteristics indicate?,Melanose_disease,M14
"Is this leaf dealing with a disease, according to you?",Yes_BlackSpot_disease,BlackSpot21
What conclusions can you make from this image?,Canker_disease,canker20
What disease is being indicated here?,Greening_disease,Greening19
Do you notice any disease-related issues on this leaf?,No_HealthyLeaf,H20
What disease is indicated by this image?,Melanose_disease,M15
What specific disease aligns with this image?,BlackSpot_disease,BlackSpot22
What's your interpretation of this image?,Canker_disease,canker21
What disease does this image suggest?,BlackSpot_disease,BlackSpot23
Can you determine if this leaf is healthy?,No_Canker_disease,canker22
Is this leaf's state a result of some disease?,Yes_Greening_disease,Greening20
Does this leaf seem to have caught a disease?,No_HealthyLeaf,H21
Can you see any disease symptoms on this leaf?,Yes_BlackSpot_disease,BlackSpot24
Is the leaf's appearance changed due to a disease?,Yes_Canker_disease,canker23
What insights can you gather from this image?,Greening_disease,Greening21
Which disease is likely affecting the plant?,HealthyLeaf,H22
What does this image provide clues about?,Melanose_disease,M16
Does this leaf have any visible disease symptoms?,Yes_BlackSpot_disease,BlackSpot25
Can you find out if this leaf's issue is a disease?,Yes_Canker_disease,canker24
What can you deduce about the disease from this image?,Greening_disease,Greening22
What conclusions can you draw about this disease?,BlackSpot_disease,BlackSpot26
